table,field_name,field_class,description,type,values,example,required?,notes
trials,full_phrase,CharField,Full phrase prompting the target,string,,Do you see the ball?,no,
trials,full_phrase_language,CharField,"language of the full phrase (options: ISO 639-2 language 3 digits code, multiple, artificial); see here for table and information on ISO 639-2 language 3 digits code: https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes; other link: https://gist.github.com/gantian127/8345007938faf611fa6d)",,"ISO 639-2 language 3 digits code, multiple, artificial",,no,
trials,point_of_disambiguation,IntegerField,target onset time (relative to trial onset) in ms,numeric,,1873,no,
trials,target_side,CharField,part of the screen in which the target stimulus appears (left or right in 2-choice design),string,left / right,left,no,
trials,lab_trial_id,CharField,internal index assigned to trial within lab,numeric,,1,no,
trials,aoi_region_set_id,ForeignKey,unique aoi_region identifier (indexing from zero),numeric,,0,no,linked to aoi_region_sets.aoi_region_set_id; not available for hand-coded datasets
trials,dataset_id,ForeignKey,row identifier for the datasets table indexing from zero,numeric,,0,yes,linked to datasets.dataset_id
trials,distractor_id,ForeignKey,row identifier for the distractor stimulus indexing from zero,numeric,,0,yes,linked to stimuli.stimulus_id
trials,target_id,ForeignKey,row identifier for the target stimulus indexing from zero,numeric,,1,yes,linked to stimuli.stimulus_id
xy_timepoints,xy_timepoint_id,PrimaryKey,row identifier for the xy_timepoints table indexing from zero,numeric,,0,yes,unique per row; no entries for hand-coded datasets
xy_timepoints,x,IntegerField,"x-coordinate of gaze position at timepoint t (origin (0,0) is bottom left)",numeric,,1498,no,
xy_timepoints,y,IntegerField,"y-coordinate of gaze position at timepoint t (origin (0,0) is bottom left)",numeric,,505,no,
xy_timepoints,t,IntegerField,"timepoint/ timestamp in milliseconds (relative to trial onset; first trial frame is 0 ms) (required if you contribute data to this table - if not, e.g. manually coded data, then not required)",numeric,,33.33,yes,
xy_timepoints,administration_id,ForeignKey,row identifier for the administrations table indexing from zero (linked to administrations),numeric,,0,yes,linked to administrations.administration_id
xy_timepoints,trial_id,ForeignKey,row identifier for the trials table indexing from zero (linked to trials),numeric,,0,yes,linked to trials.trial_id
aoi_timepoints,aoi_timepoint_id,PrimaryKey,row identifier for the aoi_timepoints table indexing from zero,numeric,,0,yes,unique per row
aoi_timepoints,trial_id,ForeignKey,row identifier for the trials table indexing from zero (linked to trials),numeric,,0,yes,linked to trials.trial_id
aoi_timepoints,aoi,CharField,"name of the looking location (target, distractor, other, missing). other = on-screen looking, but not in the AOI regions for target or distractor. missing = missing data (could be off-screen look, blink, tracker error, etc.)",string,target / distractor / other / missing,target,yes,
aoi_timepoints,t_norm,IntegerField,"timestamp in ms, centered on the point of disambiguation of the target (= 0 ms)",numeric,,0,yes,
aoi_timepoints,administration_id,ForeignKey,row identifier for the administrations table indexing from zero (linked to administrations),numeric,,0,yes,linked to administrations.administraion_id
aoi_region_sets,aoi_region_set_id,PrimaryKey,row identifier for the aoi_region_sets table indexing from zero,numeric,,0,yes,unique per row
aoi_region_sets,l_x_max,IntegerField,"maximum x-coordinate of the left AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,715,no,
aoi_region_sets,l_x_min,IntegerField,"minimum x-coordinate of the left AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,3,no,
aoi_region_sets,l_y_max,IntegerField,"maximum y-coordinate of the left AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,921,no,
aoi_region_sets,l_y_min,IntegerField,"minimum y-coordinate of the left AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,146,no,
aoi_region_sets,r_x_max,IntegerField,"maximum x-coordinate of the right AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,1679,no,
aoi_region_sets,r_x_min,IntegerField,"minimum x-coordinate of the right AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,967,no,
aoi_region_sets,r_y_max,IntegerField,"maximum y-coordinate of the right AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,921,no,
aoi_region_sets,r_y_min,IntegerField,"minimum y-coordinate of the right AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,146,no,
stimuli,stimulus_id,PrimaryKey,row identifier for the stimuli table indexing from zero,numeric,,0,yes,unique per row
stimuli,stimulus_label,CharField,label (i.e. target label) assigned to the stimulus,string,,ball,no,
stimuli,stimulus_novelty,CharField,"whether the stimulus is novel or familiar (options: novel, familiar)",string,novel / familiar,familiar,no,
stimuli,stimulus_image_path,CharField,relative file path to the visual image stimulus,string,,images/ball.png,no,
stimuli,lab_stimulus_id,CharField,lab-internal id assigned to the stimulus (possibly empty),string,,ball_01,no,
stimuli,dataset_id,ForeignKey,row identifier for datasets indexing from zero (linked to datasets),numeric,,0,yes,linked to datasets.dataset_id
